Date,BTC.Open,BTC.High,BTC.Low,BTC.Close,LTC.Open,LTC.High,LTC.Low,LTC.Close,XRP.Open,XRP.High,XRP.Low,XRP.Close,ETH.Open,ETH.High,ETH.Low,ETH.Close,Date,Close*
12/1/16 0:00,742.01,754.75,741.88,753.25,3.91,3.92,3.89,3.91,0.006723,0.006737,0.006702,0.006702,8.6,8.65,8.36,8.45,12/1/16 0:00,"2,191.08"
12/2/16 0:00,753.25,778.14,753.15,771.41,3.92,3.96,3.92,3.95,0.006707,0.006906,0.006615,0.00666,8.46,8.46,7.42,7.76,12/2/16 0:00,"2,191.95"
12/3/16 0:00,771.41,771.47,757.83,764.97,3.95,3.95,3.91,3.92,0.006712,0.00689,0.006588,0.006588,7.77,8.15,7.67,7.92,12/5/16 0:00,"2,204.71"
12/4/16 0:00,764.97,767.24,761.4,766.46,3.93,3.95,3.9,3.9,0.006592,0.006594,0.006519,0.006527,7.9,7.95,7.44,7.44,12/6/16 0:00,"2,212.23"
12/5/16 0:00,766.46,766.83,745.7,750.71,3.88,3.92,3.33,3.53,0.006525,0.006761,0.006419,0.006434,7.41,7.64,6.66,6.82,12/7/16 0:00,"2,241.35"
12/6/16 0:00,750.71,759.89,750.54,758.81,3.49,3.56,3.49,3.54,0.006435,0.006655,0.006417,0.006655,6.8,7.92,5.98,7.87,12/8/16 0:00,"2,246.19"
12/7/16 0:00,758.81,768.32,752.16,763.9,3.54,3.63,3.51,3.62,0.006653,0.006851,0.006565,0.006851,7.89,8.54,7.33,8.38,12/9/16 0:00,"2,259.53"
12/8/16 0:00,763.9,771.42,761.46,766.75,3.6,3.73,3.6,3.69,0.006849,0.007156,0.006829,0.007097,8.38,8.86,8.23,8.23,12/12/16 0:00,"2,256.96"
12/9/16 0:00,766.75,772.47,766.27,770.41,3.69,3.71,3.68,3.69,0.007091,0.007162,0.007007,0.007135,8.17,8.67,8.05,8.45,12/13/16 0:00,"2,271.72"
12/10/16 0:00,770.41,775.09,770.25,773.21,3.69,3.7,3.64,3.68,0.007138,0.007145,0.006816,0.006816,8.44,8.53,8.02,8.13,12/14/16 0:00,"2,253.28"
12/11/16 0:00,773.21,773.31,763.32,768.62,3.69,3.69,3.63,3.64,0.006816,0.006998,0.006731,0.006744,8.13,8.27,8.1,8.19,12/15/16 0:00,"2,262.03"
12/12/16 0:00,768.62,779.35,768.62,777.91,3.64,3.67,3.62,3.66,0.006744,0.006809,0.006743,0.006778,8.19,8.61,8.17,8.52,12/16/16 0:00,"2,258.07"
12/13/16 0:00,777.91,788.49,766.9,775.25,3.67,3.7,3.65,3.65,0.00678,0.006781,0.006678,0.006708,8.52,8.53,8.35,8.42,12/19/16 0:00,"2,262.53"
12/14/16 0:00,775.25,779.6,771.39,776.64,3.66,3.66,3.59,3.62,0.006704,0.006753,0.00669,0.006705,8.45,8.52,8.25,8.27,12/20/16 0:00,"2,270.76"
12/15/16 0:00,776.64,778.22,774.94,775.48,3.61,3.65,3.6,3.62,0.006699,0.006699,0.006606,0.006662,8.24,8.24,7.72,7.83,12/21/16 0:00,"2,265.18"
12/16/16 0:00,775.48,781.54,772.77,780.85,3.63,3.65,3.61,3.63,0.006662,0.006791,0.006661,0.00671,7.86,7.93,7.8,7.86,12/22/16 0:00,"2,260.96"
12/17/16 0:00,780.85,790.84,780.7,788.58,3.63,3.71,3.61,3.7,0.006704,0.006711,0.006535,0.006541,7.86,7.9,7.52,7.88,12/23/16 0:00,"2,263.79"
12/18/16 0:00,788.58,790.09,785.24,788.59,3.7,3.71,3.66,3.68,0.006541,0.00658,0.006533,0.006574,7.86,7.93,7.72,7.87,12/27/16 0:00,"2,268.88"
12/19/16 0:00,788.59,792.28,788.57,790.16,3.68,3.68,3.65,3.66,0.006582,0.006582,0.006534,0.006545,7.87,7.87,7.63,7.64,12/28/16 0:00,"2,249.92"
12/20/16 0:00,790.16,800.46,788.45,798.78,3.66,3.66,3.64,3.66,0.00654,0.006543,0.006481,0.0065,7.63,7.75,7.57,7.66,12/29/16 0:00,"2,249.26"
12/21/16 0:00,798.78,833.3,797.46,833.1,3.66,3.69,3.65,3.65,0.006498,0.006498,0.006417,0.006445,7.66,7.94,7.66,7.91,12/30/16 0:00,"2,238.83"
12/22/16 0:00,833.1,874.1,829.84,858.74,3.67,3.75,3.66,3.71,0.006452,0.006466,0.006324,0.006363,7.9,7.91,7.5,7.58,1/3/17 0:00,"2,257.83"
12/23/16 0:00,858.74,918.95,858.62,916.79,3.72,4.66,3.71,4.66,0.006362,0.006436,0.006281,0.006286,7.58,7.69,7.16,7.17,1/4/17 0:00,"2,270.75"
12/24/16 0:00,916.79,917.55,883.27,894.2,4.65,4.77,4.42,4.55,0.006275,0.006371,0.006234,0.006349,7.15,7.41,7.15,7.27,1/5/17 0:00,"2,269.00"
12/25/16 0:00,894.2,896.14,858.04,894.48,4.56,4.57,4.22,4.35,0.00635,0.006453,0.006334,0.006444,7.26,7.34,7.14,7.18,1/6/17 0:00,"2,276.98"
12/26/16 0:00,894.48,909.85,893.62,902.55,4.35,4.47,4.28,4.36,0.006443,0.006481,0.006323,0.006326,7.13,7.33,7.05,7.27,1/9/17 0:00,"2,268.90"
12/27/16 0:00,902.55,938.13,900.03,931.11,4.37,4.58,4.33,4.47,0.006326,0.006326,0.006188,0.006199,7.28,7.32,7.09,7.17,1/10/17 0:00,"2,268.90"
12/28/16 0:00,931.11,978.01,931.11,978.01,4.49,4.67,4.49,4.57,0.006193,0.006336,0.006126,0.006173,7.15,7.62,7.08,7.52,1/11/17 0:00,"2,275.32"
12/29/16 0:00,978.01,982.87,949.62,969.62,4.58,4.63,4.51,4.56,0.00618,0.006354,0.006167,0.006341,7.54,8.53,7.54,8.28,1/12/17 0:00,"2,270.44"
12/30/16 0:00,969.62,969.62,928.99,960.47,4.56,4.56,4.29,4.39,0.006352,0.006455,0.006338,0.006426,8.29,8.47,8.05,8.16,1/13/17 0:00,"2,274.64"
12/31/16 0:00,960.47,968.23,945.74,968.23,4.39,4.4,4.29,4.33,0.006417,0.006538,0.006387,0.006449,8.15,8.16,7.91,7.97,1/17/17 0:00,"2,267.89"
1/1/17 0:00,968.23,1003.25,962.58,997.69,4.33,4.52,4.33,4.51,0.006523,0.006702,0.006334,0.006368,7.98,8.47,7.98,8.17,1/18/17 0:00,"2,271.89"
1/2/17 0:00,997.69,1034.1,996.44,1018.05,4.52,4.74,4.48,4.65,0.006386,0.006437,0.006281,0.006311,8.17,8.44,8.05,8.38,1/19/17 0:00,"2,263.69"
1/3/17 0:00,1018.05,1036.14,1013.38,1030.82,4.66,4.73,4.56,4.63,0.00629,0.006392,0.006278,0.006386,8.37,10,8.32,9.73,1/20/17 0:00,"2,271.31"
1/4/17 0:00,1030.82,1141.16,1030.82,1129.87,4.63,4.84,4.63,4.84,0.006385,0.006656,0.006385,0.00657,9.71,11.28,9.56,11.25,1/23/17 0:00,"2,265.20"
1/5/17 0:00,1129.87,1153.02,887.46,1005.81,4.91,4.95,4.23,4.29,0.006572,0.00658,0.006031,0.006201,11.29,11.89,9.4,10.25,1/24/17 0:00,"2,280.07"
1/6/17 0:00,1005.81,1029.17,867.16,895.67,4.3,4.35,3.84,3.86,0.006197,0.006394,0.006109,0.006315,10.29,10.63,9.63,10.25,1/25/17 0:00,"2,298.37"
1/7/17 0:00,895.67,906.04,816.36,905.17,3.86,3.96,3.61,3.96,0.006351,0.006404,0.006133,0.006366,10.24,10.28,9.59,9.87,1/26/17 0:00,"2,296.68"
1/8/17 0:00,905.17,942.06,888.2,913.52,3.96,4.02,3.9,3.99,0.006383,0.006383,0.006232,0.006233,9.87,10.39,9.83,10.29,1/27/17 0:00,"2,294.69"
1/9/17 0:00,913.52,913.52,878.1,899.35,4,4.36,3.93,4.3,0.006239,0.006294,0.006127,0.006167,10.31,10.78,10.14,10.33,1/30/17 0:00,"2,280.90"
1/10/17 0:00,899.35,914.02,897.57,904.79,4.3,4.68,4.29,4.59,0.006157,0.006815,0.006148,0.006698,10.37,10.69,10.29,10.55,1/31/17 0:00,"2,278.87"
1/11/17 0:00,904.79,919.56,752.11,775.98,4.6,4.64,3.8,3.85,0.006708,0.006721,0.006312,0.006411,10.54,10.66,9.46,9.72,2/1/17 0:00,"2,279.55"
1/12/17 0:00,775.98,828.09,746.68,802.83,3.84,4.02,3.78,3.96,0.006417,0.006851,0.006351,0.006423,9.72,10.08,9.18,9.86,2/2/17 0:00,"2,280.85"
1/13/17 0:00,802.83,829.81,774.36,826.12,3.95,3.96,3.8,3.89,0.006434,0.006664,0.006396,0.006596,9.83,9.85,9.51,9.77,2/3/17 0:00,"2,297.42"
1/14/17 0:00,826.12,839.23,810.64,818.64,3.89,3.95,3.87,3.9,0.00661,0.006872,0.006585,0.006863,9.79,9.89,9.44,9.65,2/6/17 0:00,"2,292.56"
1/15/17 0:00,818.64,823.16,810.01,822.42,3.89,3.95,3.88,3.93,0.006867,0.006925,0.006726,0.006726,9.83,10,9.6,9.9,2/7/17 0:00,"2,293.08"
1/16/17 0:00,822.42,834.7,820.05,830.26,3.92,3.96,3.87,3.9,0.006747,0.006836,0.006717,0.006788,9.88,9.93,9.58,9.64,2/8/17 0:00,"2,294.67"
1/17/17 0:00,830.26,908.13,828.58,904.45,3.91,3.95,3.85,3.94,0.006772,0.006848,0.006612,0.0068,9.64,10.61,9.54,10.3,2/9/17 0:00,"2,307.87"
1/18/17 0:00,904.45,914.8,848.61,884.25,3.94,3.95,3.78,3.84,0.00679,0.007125,0.006659,0.006709,10.3,10.52,9.94,10.23,2/10/17 0:00,"2,316.10"
1/19/17 0:00,884.25,905.42,879.59,898.02,3.84,3.93,3.81,3.86,0.006713,0.00704,0.006671,0.007034,10.24,10.44,10.18,10.4,2/13/17 0:00,"2,328.25"
1/20/17 0:00,898.02,899.38,882.3,891.62,3.86,3.91,3.84,3.89,0.007032,0.00716,0.00661,0.006675,10.39,10.76,10.35,10.6,2/14/17 0:00,"2,337.58"
1/21/17 0:00,891.62,927.24,891.09,920.01,3.89,3.92,3.89,3.9,0.006694,0.006824,0.006678,0.006706,10.6,10.98,10.58,10.91,2/15/17 0:00,"2,349.25"
1/22/17 0:00,920.01,939.27,893.01,925.33,3.9,3.92,3.82,3.84,0.006706,0.006759,0.006653,0.006713,10.91,10.97,10.58,10.7,2/16/17 0:00,"2,347.22"
1/23/17 0:00,925.33,927,912.69,912.69,3.86,3.86,3.82,3.84,0.006718,0.006735,0.006662,0.006697,10.71,10.84,10.67,10.82,2/17/17 0:00,"2,351.16"
1/24/17 0:00,912.69,922.15,884.79,885.65,3.84,3.84,3.78,3.79,0.006708,0.006718,0.006534,0.00654,10.73,10.77,10.57,10.63,2/21/17 0:00,"2,365.38"
1/25/17 0:00,885.65,902.73,885.65,894.11,3.79,3.8,3.69,3.71,0.006527,0.006594,0.00649,0.006513,10.62,10.62,10.48,10.57,2/22/17 0:00,"2,362.82"
1/26/17 0:00,894.11,919.13,894.02,915.1,3.71,3.84,3.71,3.83,0.006511,0.007073,0.006425,0.00669,10.57,10.67,10.51,10.59,2/23/17 0:00,"2,363.81"
1/27/17 0:00,915.1,921.57,909.4,918.56,3.84,3.86,3.81,3.86,0.006685,0.006815,0.006331,0.006415,10.58,10.61,10.44,10.54,2/24/17 0:00,"2,367.34"
1/28/17 0:00,918.56,921.59,917.5,920.28,3.85,3.87,3.84,3.85,0.006409,0.006419,0.006323,0.006342,10.54,10.58,10.43,10.56,2/27/17 0:00,"2,369.75"
1/29/17 0:00,920.28,922.06,914,914.04,3.85,3.86,3.84,3.85,0.006356,0.006493,0.006287,0.006402,10.56,10.57,10.45,10.48,2/28/17 0:00,"2,363.64"
1/30/17 0:00,914.04,921.58,912.95,920.24,3.86,4.02,3.86,4.02,0.006402,0.006468,0.006353,0.006381,10.49,10.71,10.47,10.57,3/1/17 0:00,"2,395.96"
1/31/17 0:00,920.24,970.19,920.24,967.67,4.02,4.1,4.02,4.08,0.00639,0.006411,0.006297,0.006314,10.56,10.75,10.54,10.73,3/2/17 0:00,"2,381.92"
2/1/17 0:00,967.67,987.35,964.41,987.35,4.08,4.13,4.03,4.08,0.006311,0.006642,0.006249,0.00654,10.74,10.85,10.56,10.73,3/3/17 0:00,"2,383.12"
2/2/17 0:00,987.35,1010.08,977.52,1007.79,4.08,4.09,4.02,4.09,0.00654,0.00663,0.006381,0.006469,10.74,10.89,10.55,10.82,3/6/17 0:00,"2,375.31"
2/3/17 0:00,1007.79,1024.14,995.87,1018.11,4.08,4.11,4.04,4.08,0.006466,0.00651,0.006401,0.006474,10.81,11.11,10.76,11.11,3/7/17 0:00,"2,368.39"
2/4/17 0:00,1018.11,1040.09,1004.38,1033.65,4.08,4.1,4.02,4.06,0.006487,0.006528,0.006429,0.006492,11.13,11.5,11.13,11.43,3/8/17 0:00,"2,362.98"
2/5/17 0:00,1033.65,1033.65,1006.52,1013.99,4.07,4.07,4.02,4.04,0.006494,0.006563,0.006403,0.006442,11.44,11.49,11.32,11.35,3/9/17 0:00,"2,364.87"
2/6/17 0:00,1013.99,1030.4,1012.9,1024.61,4.06,4.08,4.04,4.04,0.006439,0.006494,0.006397,0.00645,11.35,11.48,11.34,11.39,3/10/17 0:00,"2,372.60"
2/7/17 0:00,1024.61,1054.73,1023.99,1052.54,4.05,4.08,4.04,4.04,0.006437,0.006509,0.006378,0.006407,11.43,11.61,11.41,11.52,3/13/17 0:00,"2,373.47"
2/8/17 0:00,1052.54,1069.99,1018.19,1054.34,4.05,4.08,3.97,4.02,0.006407,0.007833,0.006402,0.006438,11.54,11.63,11.24,11.43,3/14/17 0:00,"2,365.45"
2/9/17 0:00,1054.34,1077.76,942.45,988.95,4.03,4.08,3.71,3.8,0.006433,0.006484,0.006193,0.006374,11.44,11.6,10.67,11.03,3/15/17 0:00,"2,385.26"
2/10/17 0:00,988.95,1000.99,954.28,993.08,3.8,3.81,3.7,3.78,0.006367,0.0067,0.006192,0.006289,11.04,11.34,10.78,11.28,3/16/17 0:00,"2,381.38"
2/11/17 0:00,993.08,1016,987.81,1010,3.78,3.8,3.77,3.79,0.00629,0.006395,0.006273,0.006333,11.29,11.43,11.24,11.35,3/17/17 0:00,"2,378.25"
2/12/17 0:00,1010,1010,997.46,999.51,3.8,3.8,3.75,3.76,0.006328,0.006364,0.006269,0.006269,11.35,11.4,11.3,11.4,3/20/17 0:00,"2,373.47"
2/13/17 0:00,999.51,1007.28,976.29,996.86,3.77,3.77,3.7,3.72,0.006267,0.006338,0.006228,0.006251,11.38,11.39,11.17,11.27,3/21/17 0:00,"2,344.02"
2/14/17 0:00,996.86,1016.44,987.33,1009.25,3.72,3.77,3.71,3.77,0.00624,0.006352,0.00624,0.006278,11.29,13.33,11.29,13.03,3/22/17 0:00,"2,348.45"
2/15/17 0:00,1009.25,1011.33,1001,1009.12,3.77,3.82,3.76,3.81,0.006279,0.006302,0.006095,0.006147,13.04,13.04,12.64,12.92,3/23/17 0:00,"2,345.96"
2/16/17 0:00,1009.12,1039.85,1008.79,1034.08,3.8,3.82,3.78,3.79,0.006138,0.006244,0.005988,0.006027,12.92,12.92,12.54,12.9,3/24/17 0:00,"2,343.98"
2/17/17 0:00,1034.08,1058.27,1027.99,1053.12,3.78,3.84,3.77,3.83,0.005939,0.006095,0.005872,0.005935,12.9,12.91,12.66,12.68,3/27/17 0:00,"2,341.59"
2/18/17 0:00,1053.12,1066.84,1050.71,1058.41,3.83,3.83,3.78,3.79,0.005949,0.006014,0.005427,0.005569,12.71,12.83,12.68,12.81,3/28/17 0:00,"2,358.57"
2/19/17 0:00,1058.41,1061.32,1045.31,1052.82,3.79,3.79,3.74,3.76,0.005589,0.005892,0.00557,0.005878,12.82,12.87,12.71,12.76,3/29/17 0:00,"2,361.13"
2/20/17 0:00,1052.82,1084.5,1045.8,1083.24,3.77,3.78,3.75,3.77,0.005879,0.005949,0.00574,0.005873,12.77,12.9,12.43,12.43,3/30/17 0:00,"2,368.06"
2/21/17 0:00,1083.24,1126.49,1078.02,1123.66,3.76,3.8,3.76,3.78,0.005871,0.005909,0.005735,0.005832,12.34,12.77,12.21,12.67,3/31/17 0:00,"2,362.72"
2/22/17 0:00,1123.66,1135.86,1101.9,1122.19,3.79,3.84,3.78,3.81,0.005849,0.005887,0.005817,0.00586,12.69,12.76,12.55,12.6,4/3/17 0:00,"2,358.84"
2/23/17 0:00,1122.19,1186.33,1119.41,1178.38,3.8,3.85,3.8,3.84,0.005856,0.005943,0.005798,0.005895,12.6,13.21,12.56,13.12,4/4/17 0:00,"2,360.16"
2/24/17 0:00,1178.38,1206.6,1101.38,1180.92,3.83,3.88,3.82,3.85,0.005883,0.005919,0.005644,0.005701,13.13,13.23,12.88,13.07,4/5/17 0:00,"2,352.95"
2/25/17 0:00,1180.92,1184.18,1126.26,1151.58,3.85,3.86,3.81,3.83,0.0057,0.005743,0.005628,0.005665,13.06,13.72,12.98,13.55,4/6/17 0:00,"2,357.49"
2/26/17 0:00,1151.58,1183.35,1133.23,1179.97,3.82,3.85,3.8,3.83,0.005664,0.005733,0.005651,0.005671,13.52,14.54,13.4,14.52,4/7/17 0:00,"2,355.54"
2/27/17 0:00,1179.97,1196.8,1173.09,1194.28,3.81,3.83,3.8,3.8,0.005665,0.005696,0.005608,0.005609,14.51,15.68,14.27,15.4,4/10/17 0:00,"2,357.16"
2/28/17 0:00,1194.28,1210.16,1176.9,1190.89,3.8,3.82,3.76,3.77,0.005608,0.005631,0.005438,0.005536,15.45,16.06,15.12,15.82,4/11/17 0:00,"2,353.78"
3/1/17 0:00,1190.89,1230.02,1187.33,1230.02,3.77,3.81,3.76,3.8,0.005525,0.005547,0.005372,0.005408,15.85,17.37,15.56,17.35,4/12/17 0:00,"2,344.93"
3/2/17 0:00,1230.02,1284.33,1216.03,1260.92,3.8,4.11,3.78,3.92,0.005419,0.006217,0.005408,0.005991,17.36,19.35,16.95,19.03,4/13/17 0:00,"2,328.95"
3/3/17 0:00,1260.92,1293.47,1258.49,1290.79,3.92,4,3.9,3.92,0.005988,0.006346,0.005968,0.006339,19.04,20.67,18.41,19.46,4/17/17 0:00,"2,349.01"
3/4/17 0:00,1290.79,1290.79,1239.57,1267.68,3.91,3.92,3.86,3.88,0.006354,0.006497,0.006278,0.006299,19.52,20.05,18.62,18.62,4/18/17 0:00,"2,342.19"
3/5/17 0:00,1267.68,1277.88,1245.91,1277.68,3.86,3.9,3.84,3.9,0.00629,0.006389,0.006129,0.006129,18.5,19.42,18.23,19.3,4/19/17 0:00,"2,338.17"
3/6/17 0:00,1277.68,1285.18,1268.81,1280.87,3.87,3.93,3.86,3.92,0.006129,0.006221,0.006047,0.006057,19.28,20.1,19.11,19.61,4/20/17 0:00,"2,355.84"
3/7/17 0:00,1280.87,1282.44,1188.17,1232.43,3.89,3.91,3.8,3.82,0.006057,0.006577,0.005974,0.006534,19.58,19.63,18.64,18.89,4/21/17 0:00,"2,348.69"
3/8/17 0:00,1232.43,1239.75,1145.89,1150.48,3.81,3.82,3.75,3.78,0.006551,0.006776,0.006363,0.006509,18.88,18.88,16.65,16.65,4/24/17 0:00,"2,374.15"
3/9/17 0:00,1150.48,1208.64,1135.09,1191.81,3.77,3.84,3.76,3.84,0.006485,0.006606,0.006423,0.006498,16.64,17.87,16.37,17.75,4/25/17 0:00,"2,388.61"
3/10/17 0:00,1191.81,1325.81,1022.68,1117.02,3.83,3.88,3.73,3.75,0.006503,0.006546,0.00605,0.006227,17.74,19.66,17.68,19.33,4/26/17 0:00,"2,387.45"
3/11/17 0:00,1117.02,1200.38,1112.14,1181.64,3.76,3.84,3.75,3.8,0.006229,0.006383,0.00613,0.006238,19.37,21.59,19.01,21.47,4/27/17 0:00,"2,388.77"
3/12/17 0:00,1181.64,1237.78,1178.07,1229.5,3.79,3.86,3.78,3.84,0.006214,0.006313,0.006086,0.006255,21.46,23.44,21.38,23.44,4/28/17 0:00,"2,384.20"
3/13/17 0:00,1229.5,1247.26,1216.21,1243.24,3.85,4.25,3.83,4.17,0.006271,0.006429,0.006156,0.006385,23.5,30.6,23.5,28.59,5/1/17 0:00,"2,388.33"
3/14/17 0:00,1243.24,1257.8,1227.11,1246.31,4.17,4.17,4.01,4.06,0.006346,0.006406,0.006277,0.006381,28.57,29.93,27.32,28.65,5/2/17 0:00,"2,391.17"
3/15/17 0:00,1246.31,1260.42,1245.1,1259.6,4.05,4.18,4,4.16,0.00637,0.0065,0.006301,0.006314,28.65,35.06,28.43,35.06,5/3/17 0:00,"2,388.13"
3/16/17 0:00,1259.6,1260.63,1132.45,1172.91,4.15,4.38,4.1,4.24,0.006319,0.006409,0.006213,0.006394,35.36,47.17,35.36,46.35,5/4/17 0:00,"2,389.52"
3/17/17 0:00,1172.91,1172.91,1066.8,1070.13,4.23,4.23,4.04,4.06,0.006406,0.006406,0.00597,0.006116,45.93,55.11,38.21,46.83,5/5/17 0:00,"2,399.29"
3/18/17 0:00,1070.13,1096.88,944.11,970.6,4.04,4.16,3.86,3.97,0.006137,0.007396,0.006118,0.00671,46.87,46.87,31.7,34.16,5/8/17 0:00,"2,399.38"
3/19/17 0:00,970.6,1058.91,970.6,1017.8,3.96,4.03,3.9,3.96,0.006736,0.007198,0.006556,0.006912,35.53,47,35.34,44.74,5/9/17 0:00,"2,396.92"
3/20/17 0:00,1017.8,1052.21,1014.9,1041.34,3.95,4.05,3.89,4.03,0.006915,0.007112,0.006761,0.006975,44.83,46.23,42.44,43.39,5/10/17 0:00,"2,399.63"
3/21/17 0:00,1041.34,1119.07,1041.3,1115.04,4.04,4.04,3.98,4.01,0.006996,0.007075,0.006792,0.006909,43.51,44.26,42.37,43.15,5/11/17 0:00,"2,394.44"
3/22/17 0:00,1115.04,1115.17,990.7,1037.44,3.99,4.01,3.89,3.94,0.006908,0.00746,0.006882,0.007301,43.12,43.52,39.69,42.34,5/12/17 0:00,"2,390.90"
3/23/17 0:00,1037.44,1053.24,1016.83,1029.95,3.93,4,3.92,3.98,0.007284,0.010582,0.007258,0.010582,42.57,44.75,41.3,43.68,5/15/17 0:00,"2,402.32"
3/24/17 0:00,1029.95,1032.34,925.78,935.95,3.97,4.13,3.94,4.08,0.010528,0.010825,0.009135,0.010518,43.64,54.14,43.21,53.11,5/16/17 0:00,"2,400.67"
3/25/17 0:00,935.95,972.27,891.51,964.69,4.07,4.12,3.97,4.07,0.010502,0.010711,0.00904,0.009116,53.58,53.58,48.31,51.25,5/17/17 0:00,"2,357.03"
3/26/17 0:00,964.69,998.56,946.52,965.23,4.07,4.1,4.03,4.06,0.009159,0.00984,0.009079,0.009545,50.77,51.8,49.28,50.52,5/18/17 0:00,"2,365.72"
3/27/17 0:00,965.23,1042.9,958.77,1040.49,4.07,4.14,4.04,4.08,0.009482,0.010053,0.009155,0.009597,51.31,52.46,48.93,49.67,5/19/17 0:00,"2,381.73"
3/28/17 0:00,1040.49,1064.52,1017.17,1044.25,4.07,4.18,4.06,4.16,0.009568,0.009644,0.00928,0.009514,49.71,50.96,49.15,50.77,5/22/17 0:00,"2,394.02"
3/29/17 0:00,1044.25,1056.9,1010.05,1040.39,4.14,4.2,4.09,4.19,0.009526,0.010101,0.00952,0.010101,50.57,53.87,50.55,53.13,5/23/17 0:00,"2,398.42"
3/30/17 0:00,1040.39,1051.85,1023.19,1037.53,4.18,7.04,4.15,6.98,0.010125,0.014126,0.010125,0.013276,53.12,53.31,51.87,52.21,5/24/17 0:00,"2,404.39"
3/31/17 0:00,1037.53,1087.73,1037.52,1079.75,7.02,7.07,5.85,6.67,0.013049,0.021776,0.013049,0.020889,51.75,51.77,47.38,50.04,5/25/17 0:00,"2,415.07"
